Name	Value
yarn.resourcemanager.zk-state-store.parent-path	/rmstore
fs.client.resolve.remote.symlinks	true
hadoop.ssl.enabled.protocols	TLSv1
mapreduce.reduce.cpu.vcores	1
yarn.client.failover-retries	0
mapreduce.jobhistory.address	ip-192-168-27-182.ec2.internal:10020
hadoop.ssl.enabled	false
dfs.namenode.name.dir	/mnt/namenode
mapreduce.task.local-fs.write-limit.bytes	-1
yarn.resourcemanager.configuration.file-system-based-store	/yarn/conf
dfs.block.access.token.enable	false
dfs.webhdfs.rest-csrf.methods-to-ignore	GET,OPTIONS,HEAD,TRACE
mapreduce.job.speculative.retry-after-speculate	15000
dfs.datanode.address	0.0.0.0:50010
yarn.nodemanager.log-aggregation.policy.class	org.apache.hadoop.yarn.server.nodemanager.containermanager.logaggregation.AllContainerLogAggregationPolicy
ipc.client.connect.max.retries	10
hadoop.proxyuser.presto.groups	*
hadoop.security.kms.client.timeout	60
dfs.short.circuit.shared.memory.watcher.interrupt.check.ms	60000
yarn.resourcemanager.reservation-system.planfollower.time-step	1000
dfs.webhdfs.rest-csrf.custom-header	X-XSRF-HEADER
dfs.datanode.handler.count	10
yarn.resourcemanager.ha.automatic-failover.embedded	true
hadoop.proxyuser.oozie.groups	*
yarn.nodemanager.log-container-debug-info.enabled	false
mapreduce.task.profile.map.params	${mapreduce.task.profile.params}
yarn.resourcemanager.nodemanagers.heartbeat-interval-ms	1000
dfs.namenode.block-placement-policy.default.prefer-local-node	true
dfs.namenode.resource.checked.volumes.minimum	1
dfs.http.client.retry.max.attempts	10
yarn.resourcemanager.keytab	/etc/krb5.keytab
hadoop.security.key.provider.path	kms://http@ip-192-168-27-182.ec2.internal:9700/kms
yarn.cluster.max-application-priority	0
yarn.log-aggregation-status.time-out.ms	600000
yarn.client.max-cached-nodemanagers-proxies	0
fs.trash.checkpoint.interval	0
yarn.sharedcache.app-checker.class	org.apache.hadoop.yarn.server.sharedcachemanager.RemoteAppChecker
dfs.journalnode.http-address	0.0.0.0:8480
yarn.app.mapreduce.am.staging-dir	/tmp/hadoop-yarn/staging
yarn.nm.liveness-monitor.expiry-interval-ms	600000
mapreduce.reduce.shuffle.merge.percent	0.66
dfs.namenode.retrycache.heap.percent	0.03f
ipc.client.connect.timeout	20000
dfs.image.transfer-bootstrap-standby.bandwidthPerSec	0
yarn.nodemanager.local-dirs	/mnt/yarn
dfs.balancer.block-move.timeout	0
yarn.nodemanager.recovery.enabled	false
yarn.resourcemanager.am.max-attempts	2
s3.replication	3
yarn.timeline-service.client.internal-timers-ttl-secs	420
yarn.nodemanager.resource.pcores-vcores-multiplier	1.0
hadoop.kerberos.min.seconds.before.relogin	60
dfs.image.compress	false
dfs.datanode.available-space-volume-choosing-policy.balanced-space-preference-fraction	1.0
dfs.namenode.edit.log.autoroll.multiplier.threshold	2.0
hadoop.security.group.mapping.ldap.ssl	false
dfs.namenode.checkpoint.check.period	60
fs.defaultFS	hdfs://ip-192-168-27-182.ec2.internal:8020
hadoop.security.group.mapping.ldap.search.attr.group.name	cn
yarn.nodemanager.disk-health-checker.max-disk-utilization-per-disk-percentage	90.0
dfs.namenode.service.handler.count	10
yarn.nodemanager.container-monitor.procfs-tree.smaps-based-rss.enabled	false
mapreduce.map.sort.spill.percent	0.80
hadoop.security.crypto.codec.classes.aes.ctr.nopadding	org.apache.hadoop.crypto.OpensslAesCtrCryptoCodec, org.apache.hadoop.crypto.JceAesCtrCryptoCodec
dfs.namenode.http-address	ip-192-168-27-182.ec2.internal:50070
hadoop.security.groups.negative-cache.secs	30
hadoop.ssl.server.conf	ssl-server.xml
yarn.client.nodemanager-client-async.thread-pool-max-size	500
mapreduce.jobtracker.staging.root.dir	${hadoop.tmp.dir}/mapred/staging
yarn.minicluster.yarn.nodemanager.resource.memory-mb	4096
mapreduce.jobhistory.admin.address	0.0.0.0:10033
dfs.namenode.startup.delay.block.deletion.sec	0
yarn.nodemanager.health-checker.interval-ms	600000
dfs.namenode.checkpoint.max-retries	3
ftp.client-write-packet-size	65536
yarn.timeline-service.keytab	/etc/krb5.keytab
mapreduce.reduce.shuffle.fetch.retry.enabled	${yarn.nodemanager.recovery.enabled}
hadoop.job.history.user.location	none
yarn.app.mapreduce.task.container.log.backups	0
dfs.heartbeat.interval	3
ha.zookeeper.session-timeout.ms	5000
hadoop.security.key.default.bitlength	256
hadoop.http.authentication.signature.secret.file	${user.home}/hadoop-http-auth-signature-secret
yarn.nodemanager.log-aggregation.compression-type	none
yarn.resourcemanager.work-preserving-recovery.scheduling-wait-ms	10000
yarn.nodemanager.log-dirs	/var/log/hadoop-yarn/containers
mapreduce.job.speculative.minimum-allowed-tasks	10
dfs.datanode.cache.revocation.timeout.ms	900000
mapreduce.jobhistory.recovery.store.class	org.apache.hadoop.mapreduce.v2.hs.HistoryServerFileSystemStateStoreService
mapreduce.task.combine.progress.records	10000
yarn.nodemanager.recovery.supervised	false
yarn.nodemanager.amrmproxy.interceptor-class.pipeline	org.apache.hadoop.yarn.server.nodemanager.amrmproxy.DefaultRequestInterceptor
ipc.client.low-latency	false
yarn.nodemanager.address	${yarn.nodemanager.hostname}:8041
mapreduce.job.reduces	1
yarn.timeline-service.address	${yarn.timeline-service.hostname}:10200
yarn.resourcemanager.configuration.provider-class	org.apache.hadoop.yarn.LocalConfigurationProvider
hadoop.security.kms.client.encrypted.key.cache.expiry	43200000
yarn.sharedcache.enabled	false
tfile.io.chunk.size	1048576
hadoop.registry.zk.session.timeout.ms	60000
ha.health-monitor.sleep-after-disconnect.ms	1000
yarn.timeline-service.http-cross-origin.enabled	true
mapreduce.tasktracker.reduce.tasks.maximum	1
mapred.input.format.class	org.apache.hadoop.mapred.TextInputFormat
dfs.datanode.directoryscan.threads	1
yarn.resourcemanager.decommissioning-nodes-watcher.poll-interval-secs	20
dfs.datanode.directoryscan.interval	21600
mapreduce.job.cache.files.timestamps	1537435509756,1537435524091,1537435516480
hadoop.http.authentication.token.validity	36000
ha.failover-controller.graceful-fence.rpc-timeout.ms	5000
mapreduce.jobhistory.cleaner.interval-ms	86400000
dfs.namenode.datanode.registration.ip-hostname-check	true
dfs.namenode.backup.http-address	0.0.0.0:50105
stream.map.streamprocessor	%2Fbin%2Fbash+-x+setup-wrapper.sh+python+domainrank.py+--step-num%3D2+--mapper+--iterations+1+--sortrank+1
yarn.resourcemanager.reservation-system.enable	false
mapreduce.reduce.shuffle.read.timeout	180000
hadoop.security.crypto.buffer.size	8192
mapreduce.ifile.readahead.bytes	4194304
hadoop.registry.secure	false
dfs.namenode.safemode.min.datanodes	0
yarn.timeline-service.http-authentication.type	simple
dfs.webhdfs.enabled	true
dfs.webhdfs.socket.read-timeout	60s
yarn.dispatcher.drain-events.timeout	300000
dfs.namenode.avoid.write.stale.datanode	false
yarn.log-aggregation.retain-seconds	172800
mapreduce.job.complete.cancel.delegation.tokens	true
fs.s3a.multiobjectdelete.enable	true
yarn.resourcemanager.fail-fast	${yarn.fail-fast}
mapreduce.shuffle.connection-keep-alive.timeout	5
yarn.scheduler.minimum-allocation-vcores	1
yarn.nodemanager.runtime.linux.docker.privileged-containers.allowed	false
yarn.timeline-service.client.retry-interval-ms	1000
yarn.timeline-service.client.max-retries	30
mapreduce.shuffle.max.threads	0
nfs.exports.allowed.hosts	* rw
dfs.client.mmap.cache.size	256
io.file.buffer.size	65536
dfs.ha.zkfc.nn.http.timeout.ms	20000
yarn.nodemanager.container-metrics.unregister-delay-ms	10000
rpc.engine.org.apache.hadoop.ipc.ProtocolMetaInfoPB	org.apache.hadoop.ipc.ProtobufRpcEngine
dfs.namenode.checkpoint.txns	1000000
ipc.client.connect.retry.interval	1000
yarn.nodemanager.container-metrics.period-ms	-1
mapreduce.reduce.shuffle.connect.timeout	180000
yarn.resourcemanager.fs.state-store.uri	${hadoop.tmp.dir}/yarn/system/rmstore
hadoop.registry.zk.connection.timeout.ms	15000
fs.AbstractFileSystem.adl.impl	org.apache.hadoop.fs.adl.Adl
dfs.namenode.list.openfiles.num.responses	1000
mapred.queue.default.acl-administer-jobs	*
mapreduce.job.submithostaddress	192.168.27.182
dfs.cachereport.intervalMsec	10000
yarn.timeline-service.client.fd-flush-interval-secs	10
yarn.app.mapreduce.am.container.log.limit.kb	0
yarn.nodemanager.resourcemanager.minimum.version	NONE
fs.s3bfs.impl	org.apache.hadoop.fs.s3.S3FileSystem
yarn.resourcemanager.address	ip-192-168-27-182.ec2.internal:8032
file.stream-buffer-size	4096
mapreduce.job.ubertask.maxreduces	1
yarn.resourcemanager.nodemanager-connect-retries	10
dfs.http.client.retry.policy.enabled	false
ipc.client.idlethreshold	4000
mapred.mapper.class	org.apache.hadoop.streaming.PipeMapper
ftp.stream-buffer-size	4096
yarn.sharedcache.client-server.address	0.0.0.0:8045
dfs.client.failover.connection.retries.on.timeouts	0
dfs.namenode.replication.work.multiplier.per.iteration	2
hadoop.http.authentication.simple.anonymous.allowed	true
yarn.client.nodemanager-connect.retry-interval-ms	10000
yarn.nodemanager.linux-container-executor.resources-handler.class	org.apache.hadoop.yarn.server.nodemanager.util.DefaultLCEResourcesHandler
yarn.timeline-service.leveldb-timeline-store.read-cache-size	104857600
hadoop.security.authentication	simple
dfs.image.compression.codec	org.apache.hadoop.io.compress.DefaultCodec
mapreduce.task.files.preserve.failedtasks	false
dfs.client.read.shortcircuit.streams.cache.size	256
mapreduce.reduce.skip.proc-count.auto-incr	true
file.replication	1
yarn.nodemanager.amrmproxy.client.thread-count	25
mapreduce.jobhistory.joblist.cache.size	20000
yarn.resourcemanager.work-preserving-recovery.enabled	true
dfs.namenode.fs-limits.max-xattrs-per-inode	32
dfs.image.transfer.timeout	60000
yarn.log-aggregation.enable-local-cleanup	false
mapred.output.format.class	org.apache.hadoop.mapred.TextOutputFormat
io.compression.codecs	org.apache.hadoop.io.compress.GzipCodec,org.apache.hadoop.io.compress.DefaultCodec,org.apache.hadoop.io.compress.BZip2Codec,org.apache.hadoop.io.compress.SnappyCodec,com.hadoop.compression.lzo.LzoCodec,com.hadoop.compression.lzo.LzopCodec
nfs.wtmax	1048576
fs.s3a.multipart.purge	false
yarn.resourcemanager.webapp.ui-actions.enabled	true
dfs.secondary.namenode.kerberos.internal.spnego.principal	${dfs.web.authentication.kerberos.principal}
fs.s3a.connection.establish.timeout	5000
dfs.stream-buffer-size	4096
dfs.namenode.invalidate.work.pct.per.iteration	0.32f
fs.s3a.multipart.purge.age	86400
yarn.resourcemanager.scheduler.client.thread-count	64
ipc.maximum.data.length	67108864
tfile.fs.input.buffer.size	262144
hadoop.http.authentication.type	simple
dfs.namenode.list.encryption.zones.num.responses	100
mapreduce.map.cpu.vcores	1
dfs.namenode.decommission.interval	30
fs.AbstractFileSystem.webhdfs.impl	org.apache.hadoop.fs.WebHdfs
ftp.bytes-per-checksum	512
hadoop.workaround.non.threadsafe.getpwuid	true
dfs.user.home.dir.prefix	/user
yarn.nodemanager.pmem-check-enabled	true
dfs.namenode.inotify.max.events.per.rpc	1000
mapreduce.task.profile.maps	0-2
mapreduce.shuffle.ssl.file.buffer.size	65536
stream.reduce.input.writer.class	org.apache.hadoop.streaming.io.TextInputWriter
dfs.datanode.transfer.socket.recv.buffer.size	0
yarn.timeline-service.webapp.https.address	${yarn.timeline-service.hostname}:8190
yarn.label.enabled	true
yarn.app.mapreduce.am.command-opts	-Xmx1024m
yarn.resourcemanager.amlauncher.thread-count	50
dfs.http.client.failover.sleep.max.millis	15000
yarn.sharedcache.nm.uploader.replication.factor	10
dfs.lock.suppress.warning.interval	10s
hadoop.registry.zk.root	/registry
yarn.client.failover-proxy-provider	org.apache.hadoop.yarn.client.ConfiguredRMFailoverProxyProvider
yarn.timeline-service.client.fd-retain-secs	300
hadoop.caller.context.max.size	128
hadoop.http.cross-origin.max-age	1800
yarn.nodemanager.remote-app-log-dir-suffix	logs
mapreduce.jobhistory.principal	jhs/_HOST@REALM.TLD
nfs.mountd.port	4242
mapreduce.reduce.merge.inmem.threshold	1000
mapreduce.job.output.key.class	org.apache.hadoop.io.Text
dfs.namenode.num.checkpoints.retained	2
mapreduce.job.queuename	default
mapreduce.jobhistory.max-age-ms	604800000
yarn.nodemanager.aux-services.spark_shuffle.class	org.apache.spark.network.yarn.YarnShuffleService
yarn.nodemanager.localizer.client.thread-count	20
yarn.sharedcache.uploader.server.thread-count	50
dfs.namenode.fslock.fair	true
dfs.blockreport.split.threshold	1000000
dfs.datanode.balance.bandwidthPerSec	10m
dfs.block.scanner.volume.bytes.per.second	1048576
tmpfiles	hdfs://ip-192-168-27-182.ec2.internal:8020/user/hadoop/tmp/mrjob/domainrank.hadoop.20180920.092428.447818/files/domainrank.py#domainrank.py,hdfs://ip-192-168-27-182.ec2.internal:8020/user/hadoop/tmp/mrjob/domainrank.hadoop.20180920.092428.447818/files/mrjob.zip#mrjob.zip,hdfs://ip-192-168-27-182.ec2.internal:8020/user/hadoop/tmp/mrjob/domainrank.hadoop.20180920.092428.447818/files/setup-wrapper.sh#setup-wrapper.sh
ipc.client.rpc-timeout.ms	0
dfs.default.chunk.view.size	32768
mapreduce.jobhistory.datestring.cache.size	200000
mapreduce.task.profile.params	-agentlib:hprof=cpu=samples,heap=sites,force=n,thread=y,verbose=n,file=%s
dfs.namenode.handler.count	64
dfs.image.transfer.bandwidthPerSec	0
yarn.acl.reservation-enable	false
yarn.app.mapreduce.client.max-retries	3
yarn.node-labels.enabled	false
yarn.timeline-service.handler-thread-count	10
ipc.server.listen.queue.size	128
fs.s3a.threads.max	10
yarn.nodemanager.resource.detect-hardware-capabilities	false
yarn.resourcemanager.connect.max-wait.ms	900000
dfs.client.block.write.replace-datanode-on-failure.min-replication	0
yarn.resourcemanager.history-writer.multi-threaded-dispatcher.pool-size	10
mapreduce.job.max.split.locations	10
yarn.resourcemanager.scheduler.class	org.apache.hadoop.yarn.server.resourcemanager.scheduler.capacity.CapacityScheduler
yarn.is.minicluster	false
dfs.blocksize	134217728
mapreduce.shuffle.connection-keep-alive.enable	false
fs.s3a.threads.keepalivetime	60
ha.failover-controller.cli-check.rpc-timeout.ms	20000
ha.zookeeper.acl	world:anyone:rwcda
dfs.namenode.write.stale.datanode.ratio	0.5f
dfs.encrypt.data.transfer	false
dfs.datanode.shared.file.descriptor.paths	/dev/shm,/tmp
mapreduce.input.lineinputformat.linespermap	1
yarn.nodemanager.localizer.fetch.thread-count	20
yarn.resourcemanager.scheduler.address	ip-192-168-27-182.ec2.internal:8030
yarn.timeline-service.leveldb-timeline-store.start-time-write-cache-size	10000
dfs.client.read.shortcircuit.skip.checksum	false
stream.map.output.reader.class	org.apache.hadoop.streaming.io.TextOutputReader
mapreduce.shuffle.ssl.enabled	false
mapreduce.reduce.log.level	INFO
hadoop.registry.rm.enabled	false
dfs.namenode.quota.init-threads	4
dfs.datanode.metrics.logger.period.seconds	600
yarn.resourcemanager.system-metrics-publisher.dispatcher.pool-size	10
dfs.datanode.use.datanode.hostname	false
yarn.resourcemanager.ha.enabled	false
mapred.reducer.new-api	false
dfs.balancer.address	0.0.0.0:0
yarn.nodemanager.labels	MASTER
dfs.namenode.lock.detailed-metrics.enabled	false
dfs.namenode.rpc-address	ip-192-168-27-182.ec2.internal:8020
dfs.reformat.disabled	false
fs.s3a.multipart.threshold	2147483647
hadoop.http.cross-origin.enabled	false
mapreduce.reduce.shuffle.memory.limit.percent	0.25
dfs.https.server.keystore.resource	ssl-server.xml
yarn.scheduler.include-port-in-node-name	false
dfs.namenode.kerberos.internal.spnego.principal	${dfs.web.authentication.kerberos.principal}
yarn.resourcemanager.state-store.max-completed-applications	${yarn.resourcemanager.max-completed-applications}
stream.reduce.output.reader.class	org.apache.hadoop.streaming.io.TextOutputReader
dfs.datanode.dns.interface	default
map.sort.class	org.apache.hadoop.util.QuickSort
fs.s3a.buffer.dir	${hadoop.tmp.dir}/s3a
mapreduce.reduce.shuffle.retry-delay.max.ms	60000
mapreduce.client.progressmonitor.pollinterval	1000
yarn.app.mapreduce.shuffle.log.limit.kb	0
dfs.datanode.max.locked.memory	0
dfs.namenode.retrycache.expirytime.millis	600000
dfs.datanode.scan.period.hours	504
dfs.client.block.write.replace-datanode-on-failure.best-effort	false
mapreduce.jobhistory.move.interval-ms	180000
dfs.ha.fencing.ssh.connect-timeout	30000
yarn.nodemanager.log-aggregation.roll-monitoring-interval-seconds	-1
dfs.namenode.fs-limits.max-component-length	255
dfs.webhdfs.rest-csrf.enabled	false
yarn.timeline-service.state-store-class	org.apache.hadoop.yarn.server.timeline.recovery.LeveldbTimelineStateStore
dfs.datanode.ipc.address	0.0.0.0:50020
dfs.client.block.write.replace-datanode-on-failure.policy	DEFAULT
dfs.namenode.path.based.cache.retry.interval.ms	30000
hadoop.security.crypto.cipher.suite	AES/CTR/NoPadding
fs.s3a.fast.upload.active.blocks	4
dfs.ha.tail-edits.period	60
yarn.timeline-service.generic-application-history.max-applications	10000
hadoop.registry.jaas.context	Client
yarn.resourcemanager.hostname	192.168.27.182
hadoop.security.group.mapping.ldap.search.filter.group	(objectClass=group)
hadoop.shell.safely.delete.limit.num.files	100
hadoop.security.group.mapping.ldap.search.filter.user	(&(objectClass=user)(sAMAccountName={0}))
dfs.namenode.edits.dir	${dfs.namenode.name.dir}
yarn.client.failover-retries-on-socket-timeouts	0
dfs.namenode.decommission.max.concurrent.tracked.nodes	100
ipc.server.log.slow.rpc	false
mapreduce.jobhistory.recovery.store.leveldb.path	${hadoop.tmp.dir}/mapred/history/recoverystore
yarn.sharedcache.store.class	org.apache.hadoop.yarn.server.sharedcachemanager.store.InMemorySCMStore
yarn.nodemanager.windows-container.cpu-limit.enabled	false
yarn.nodemanager.vmem-pmem-ratio	5
dfs.namenode.checkpoint.period	3600
yarn.nodemanager.node-labels.provider.fetch-timeout-ms	1200000
mapreduce.map.java.opts	-Xmx512m
dfs.ha.automatic-failover.enabled	false
yarn.resourcemanager.scheduler.monitor.policies	org.apache.hadoop.yarn.server.resourcemanager.monitor.capacity.ProportionalCapacityPreemptionPolicy
yarn.resourcemanager.leveldb-state-store.compaction-interval-secs	3600
yarn.app.mapreduce.am.containerlauncher.threadpool-initial-size	10
mapred.child.java.opts	-Xmx200m
dfs.client.https.need-auth	false
yarn.timeline-service.entity-group-fs-store.cleaner-interval-seconds	3600
dfs.namenode.write-lock-reporting-threshold-ms	5000
fs.ftp.host.port	21
fs.s3a.block.size	32M
dfs.namenode.avoid.read.stale.datanode	false
mapreduce.job.end-notification.retry.attempts	0
yarn.timeline-service.leveldb-timeline-store.ttl-interval-ms	300000
yarn.nodemanager.runtime.linux.allowed-runtimes	default
yarn.ipc.rpc.class	org.apache.hadoop.yarn.ipc.HadoopYarnProtoRPC
dfs.namenode.lease-recheck-interval-ms	2000
dfs.client.block.write.locateFollowingBlock.initial.delay.ms	400
